id	name	pop1948	pop1956	pop1966	pop1977	pop1992	pop2002 pop2004
TR	Teleorman	487394	510488	516222	518943	483840	436025	427745
B	Municipiul Bucuresti	1025180	1177661	1366684	1807239	2067545	1926334	1927559
GR	Giurgiu	313793	325045	320120	327494	313352	297859	288018
CL	Calarasi	287722	318573	337261	338807	338804	324617	318588
DJ	Dolj	615301	642028	691116	750328	762142	734231	720554
IF	Ilfov	167533	196265	229773	287738	286965	300123	280037
CT	Constanta	311062	369940	465752	608817	748769	715151	713825
IL	Ialomita	244750	274655	291373	295965	306145	296572	293102
OT	Olt	442442	458982	476513	518804	523291	489274	488176
MH	Mehedinti	304788	304091	310021	322371	332673	306732	305901
GJ	Gorj	280524	293031	298382	348521	401021	387308	386097
DB	Dambovita	409272	438985	453241	527620	562041	541763	538126
PH	Prahova	557776	623817	701057	817168	874349	829945	829026
BR	Braila	271251	297276	339954	377954	392031	373174	371749
TL	Tulcea	192228	223719	236709	254531	270997	256492	253419
VL	Valcea	413247	438388	414241	368779	362356	341590	416908
AG	Arges	448964	483741	529833	631918	681206	652625	647437
CS	Caras-Severin	302254	327787	358726	385577	376347	333219	332688
BZ	Buzau	430225	465829	480951	508424	516961	496214	495878
BV	Brasov	300836	373941	442692	582863	643261	589028	596140
GL	Galati	341797	396138	474279	581561	641011	619556	621161
VR	Vrancea	290183	326532	351292	369740	393408	387632	394286
TM	Timis	588936	568881	607596	696884	700033	677926	661593
SB	Sibiu	335116	372687	414756	481645	452873	421724	423535
CV	Covasna	157166	172509	176858	199017	233256	222449	223878
HD	Hunedoara	306955	381902	474602	514436	547950	485712	484767
AB	Alba	361062	370800	382786	409634	413919	382747	382971
AR	Arad	476207	475620	481248	512020	487617	461791	460466
BC	Bacau	414996	507937	598321	667791	737512	706623	722961
VS	Vaslui	344917	401626	431555	437251	461374	455049	459255
MS	Mures	461403	513261	561598	605345	610053	580851	584089
HR	Harghita	258495	273964	282392	326310	348335	326222	328547
NT	Neamt	357348	419949	470206	532096	578420	554516	570367
CJ	Cluj	520073	580344	629746	715507	736301	702755	686825
SJ	Salaj	262580	271989	263103	264569	266797	248015	247796
BN	Bistrita-Nasaud	233650	255789	269954	286628	326820	311657	318558
IS	Iasi	431586	516635	619027	729243	811342	816910	821621
BH	Bihor	536323	574488	586460	633094	638863	600246	596961
SV	Suceava	439751	507674	572781	633899	701830	688435	705202
MM	Maramures	321287	367114	427645	492860	540099	510110	516562
SM	Satu Mare	312672	337351	359393	393840	400789	367281	371759
BT	Botosani	385236	428050	452406	451217	461305	452834	459195
